סמל מוסד,שם מוסד,פיקוח,שם מוטב,מעמד משפטי,חרדי,ממד,ישיבות,חרדי ללא ישיבות,ממד ללא ישיבות
611236,"אוהלי מנחם חב""""ד","ממ""ד",עירית קרית גת,רשמי,0,1,0,0,1
620088,"אור לנוער חב""""ד",חרדי,"אגודת בתי ספר למלאכה חב""""ד",מוכר,1,0,1,0,0
510065,אור מנחם,"ממ""ד",עירית אור יהודה,רשמי,0,1,0,0,1
508101,אור מנחם,חרדי,ישיבה קטנה תומכי תמימים,מוכר,1,0,1,0,0
611145,"אור מנחם חב""""ד בנות",חרדי,עירית ערד,רשמי,1,0,0,1,0
214114,"אור-מנחם חב""""ד בנות","ממ""ד",עירית צפת,רשמי,0,1,0,0,1
213561,"אור-מנחם חב""""ד בנים","ממ""ד",עירית צפת,רשמי,0,1,0,0,1
759092,"ב""""י בית חנה",חרדי,מרכז החינוך העצמאי,מוכר,1,0,0,1,0
416131,"בי""""ס חב""""ד לבנות","ממ""ד",עירית פתח תקוה,רשמי,0,1,0,0,1
670562,"ביה""""ס למלאכה חב""""ד","ממ""ד","אגודת בתי ספר למלאכה חב""""ד",מוכר,0,1,0,0,1
312603,ביס חבד ק חיים,"ממ""ד",עירית חיפה,רשמי,0,1,0,0,1
313585,בית חיה,"ממ""ד",עירית חיפה,רשמי,0,1,0,0,1
114132,בית חיה לבנות,"ממ""ד",עירית ביתר עלית,רשמי,0,1,0,0,1
344150,בית חיה מושקא,"ממ""ד","מוסדות חינוך בית חיה חב""""ד",מוכר,0,1,0,0,1
512145,בית חיה מושקא,חרדי,עירית ירושלים,רשמי,1,0,0,1,0
634063,בית חיה מושקא,חרדי,,פטור,1,0,0,1,0
641969,בית חיה מושקא,"ממ""ד",רשת אורט,רשמי,0,1,0,0,1
770495,בית חנה,"ממ""ד","בית חנה ע""""י לבנות חב""""ד",מוכר,0,1,0,0,1
270801,בית חנה,"ממ""ד",בית חנה חבד לבנות,רשמי,0,1,0,0,1
384214,בית חנה חוף הכרמל,חרדי,מ. אזורית חוף הכרמל,רשמי,1,0,0,1,0
240739,"בית לוי יצחק חב""""ד",חרדי,בית לוי יצחק,מוכר,1,0,0,1,0
440214,בית רבקה,"ממ""ד",בית רבקה לבנות,מוכר,0,1,0,0,1
441899,בית רבקה,חרדי,בית רבקה נתניה,מוכר,1,0,0,1,0
240838,"בית רבקה חב""""ד","ממ""ד",בית רבקה נצרת עלית,מוכר,0,1,0,0,1
482240,בית רבקה צעירות,"ממ""ד",מ. אזורית שדות דן,רשמי,0,1,0,0,1
512228,"בנות מנחם חב""""ד",חרדי,עירית חולון,רשמי,1,0,0,1,0
512137,"בני מנחם חב""""ד",חרדי,עירית חולון,רשמי,1,0,0,1,0
615021,"חב""""ד","ממ""ד",עירית אופקים,רשמי,0,1,0,0,1
613653,"חב""""ד","ממ""ד",עירית נתיבות,רשמי,0,1,0,0,1
613828,"חב""""ד","ממ""ד",עירית אשדוד,רשמי,0,1,0,0,1
614255,"חב""""ד","ממ""ד",עירית אילת,רשמי,0,1,0,0,1
313502,"חב""""ד","ממ""ד",עירית חדרה,רשמי,0,1,0,0,1
412296,"חב""""ד אור מנחם","ממ""ד",מ. מקומית עמנואל,רשמי,0,1,0,0,1
111260,"חב""""ד בית חנה","ממ""ד",עירית ירושלים,רשמי,0,1,0,0,1
412791,"חב""""ד בנות","ממ""ד",עירית רחובות,רשמי,0,1,0,0,1
612234,"חב""""ד בנות","ממ""ד",עירית קרית מלאכי,רשמי,0,1,0,0,1
615971,"חב""""ד בנות","ממ""ד",עירית בית שמש,רשמי,0,1,0,0,1
482695,"חב""""ד בנות",חרדי,עירית ראשון לציון,רשמי,1,0,0,1,0
512087,"חב""""ד בנות","ממ""ד",עירית תל אביב,רשמי,0,1,0,0,1
612994,"חב""""ד בנים","ממ""ד",עירית קרית מלאכי,רשמי,0,1,0,0,1
384495,"חב""""ד בנים","ממ""ד",עירית חדרה,רשמי,0,1,0,0,1
236299,"חב""""ד בנים","ממ""ד",עירית בית שמש,רשמי,0,1,0,0,1
416727,"חב""""ד חיה מושקא","ממ""ד",מ. מקומית עמנואל,רשמי,0,1,0,0,1
384644,"חב""""ד חריש","ממ""ד",מ. מקומית חריש,רשמי,0,1,0,0,1
630228,"חב""""ד טבריה",חרדי,עירית טבריה,רשמי,1,0,0,1,0
410530,"חב""""ד לבנות בית מושקא","ממ""ד",עירית מגדל העמק,רשמי,0,1,0,0,1
112102,"חב""""ד לבנים ביתר עלית","ממ""ד",עירית ביתר עלית,רשמי,0,1,0,0,1
213165,"חב""""ד מ""""ד","ממ""ד",עירית נוף הגליל,רשמי,0,1,0,0,1
430124,"חב""""ד עטרת חי'ה מושקא",חרדי,מעין החינוך התורני,מוכר,1,0,0,1,0
212019,חבד מד -אביטל,"ממ""ד",מ. אזורית הגלבוע,רשמי,0,1,0,0,1
229617,"חיידר אידיש חב""""ד",חרדי,מעין החינוך התורני,מוכר,1,0,0,1,0
732529,"ישיבת חב""""ד פתח תקוה",חרדי,דרך תקווה,מוכר,1,0,0,0,0
340802,ישיבת תומכי תמימים,חרדי,ישיבה לחוזרים וכולל אברכים,תרבותי-ייחודי,1,0,1,0,0
244517,ישיבת תומכי תמימים,חרדי,תומכי תמימים,מוכר,1,0,1,0,0
142232,ישיבת תומכי תמימים,חרדי,מוסדות חבד בהרי יהודה,מוכר,1,0,1,0,0
440727,ישיבת תומכי תמימים,חרדי,ישיבת תומכי תמימים,מוכר,1,0,1,0,0
411058,"ממ""""ד בנות חב""""ד ב","ממ""ד",עירית לוד,רשמי,0,1,0,0,1
414219,"ממ""""ד בנים חב""""ד ב","ממ""ד",עירית לוד,רשמי,0,1,0,0,1
410928,"ממ""""ד חב""""ד","ממ""ד",עירית כפר סבא,רשמי,0,1,0,0,1
411298,"ממ""""ד חב""""ד אוהל יצחק","ממ""ד",עירית נס ציונה,רשמי,0,1,0,0,1
414599,"ממ""""ד חב""""ד בנים","ממ""ד",עירית רחובות,רשמי,0,1,0,0,1
210815,"ממ""""ד חב""""ד -יבנאל","ממ""ד",מ. מקומית יבניאל,רשמי,0,1,0,0,1
415521,"ממ""""ד חבד בנות ח.מושק","ממ""ד",עירית נתניה,רשמי,0,1,0,0,1
414730,"ממ""""ד חבד בנים ד.מנחם","ממ""ד",עירית נתניה,רשמי,0,1,0,0,1
